Season_End_Year,Wk,Date,Home,HomeGoals,AwayGoals,Away,FTR
,2,2023-08-11,Burnley,0,3,Manchester City,A
,2,2023-08-12,Arsenal,2,1,Nott'm Forest,H
,2,2023-08-12,Bournemouth,1,1,West Ham,D
,2,2023-08-12,Brighton,4,1,Luton,H
,2,2023-08-12,Everton,0,1,Fulham,A
,2,2023-08-12,Sheffield United,0,1,Crystal Palace,A
,2,2023-08-12,Newcastle,5,1,Aston Villa,H
,2,2023-08-13,Brentford,2,2,Tottenham,D
,2,2023-08-13,Chelsea,1,1,Liverpool,D
,2,2023-08-14,Man United,1,0,Wolves,H
,3,2023-08-18,Nott'm Forest,2,1,Sheffield United,H
,3,2023-08-19,Fulham,0,3,Brentford,A
,3,2023-08-19,Liverpool,3,1,Bournemouth,H
,3,2023-08-19,Wolves,1,4,Brighton,A
,3,2023-08-19,Tottenham,2,0,Man United,H
,3,2023-08-19,Manchester City,1,0,Newcastle,H
,3,2023-08-20,Aston Villa,4,0,Everton,H
,3,2023-08-20,West Ham,3,1,Chelsea,H
,3,2023-08-21,Crystal Palace,0,1,Arsenal,A
,4,2023-08-25,Chelsea,3,0,Luton,H
,4,2023-08-26,Brighton,1,3,West Ham,A
,4,2023-08-26,Man United,3,2,Nott'm Forest,H
,4,2023-08-26,Everton,0,1,Wolves,A
,4,2023-08-26,Arsenal,2,2,Fulham,D
,4,2023-08-26,Bournemouth,0,2,Tottenham,A
,4,2023-08-26,Brentford,1,1,Crystal Palace,D
,4,2023-08-27,Burnley,1,3,Aston Villa,A
,4,2023-08-27,Sheffield United,1,2,Manchester City,A
,4,2023-08-27,Newcastle,1,2,Liverpool,A
,5,2023-09-01,Luton,1,2,West Ham,A
,5,2023-09-02,Brighton,3,1,Newcastle,H
,5,2023-09-02,Chelsea,0,1,Nott'm Forest,A
,5,2023-09-02,Manchester City,5,1,Fulham,H
,5,2023-09-02,Brentford,2,2,Bournemouth,D
,5,2023-09-02,Sheffield United,2,2,Everton,D
,5,2023-09-02,Burnley,2,5,Tottenham,A
,5,2023-09-03,Crystal Palace,3,2,Wolves,H
,5,2023-09-03,Liverpool,3,0,Aston Villa,H
,5,2023-09-03,Arsenal,3,1,Man United,H
