Season,Club,Net Spend (€m)
1992/1993,Blackburn Rovers,7.7780000000000005
1992/1993,Sheffield Wednesday,3.06
1992/1993,Aston Villa,3.036
1992/1993,Oldham Athletic,2.384
1992/1993,Wimbledon FC,2.143
1992/1993,Leeds United,1.9499999999999997
1992/1993,Arsenal FC,1.35
1992/1993,Manchester United,1.306
1992/1993,Middlesbrough FC,1.1840000000000002
1992/1993,Coventry City,0.858
1992/1993,Ipswich Town,0.35
1992/1993,Sheffield United,0.183
1992/1993,Liverpool FC,-0.07500000000000023
1992/1993,Queens Park Rangers,-0.32
1992/1993,Norwich City,-0.49400000000000005
1992/1993,Crystal Palace,-0.5269999999999999
1992/1993,Manchester City,-1.847
1992/1993,Everton FC,-2.747
1992/1993,Southampton FC,-2.991
1992/1993,Tottenham Hotspur,-3.0250000000000004
1992/1993,Chelsea FC,-3.0549999999999997
1992/1993,Nottingham Forest,-3.44
1993/1994,Blackburn Rovers,11.042
1993/1994,Manchester City,7.590999999999999
1993/1994,Manchester United,7.532
1993/1994,Liverpool FC,7.072
1993/1994,Aston Villa,3.099
1993/1994,Everton FC,2.355
1993/1994,Sheffield Wednesday,2.1670000000000003
1993/1994,Newcastle United,1.59
1993/1994,Swindon Town,1.341
1993/1994,Coventry City,0.305
1993/1994,Wimbledon FC,0.23299999999999998
1993/1994,Ipswich Town,-0.033000000000000015
1993/1994,West Ham United,-0.601
1993/1994,Oldham Athletic,-0.8769999999999999
1993/1994,Southampton FC,-0.95
1993/1994,Arsenal FC,-0.9999999999999999
1993/1994,Chelsea FC,-1.0070000000000001
1993/1994,Norwich City,-2.575
1993/1994,Queens Park Rangers,-2.5780000000000003
1993/1994,Tottenham Hotspur,-2.657
1993/1994,Sheffield United,-3.7169999999999996
1993/1994,Leeds United,-4.126
1994/1995,Everton FC,10.13
1994/1995,Tottenham Hotspur,9.255
1994/1995,Liverpool FC,8.309999999999999
1994/1995,Nottingham Forest,6.46
1994/1995,Manchester United,6.303
1994/1995,Blackburn Rovers,5.734
1994/1995,West Ham United,5.208
1994/1995,Chelsea FC,4.38
1994/1995,Leeds United,3.065
1994/1995,Arsenal FC,2.9799999999999995
1994/1995,Leicester City,2.415
1994/1995,Crystal Palace,0.738
1994/1995,Coventry City,0.3450000000000002
1994/1995,Southampton FC,0.238
1994/1995,Newcastle United,-0.14000000000000057
1994/1995,Manchester City,-0.3599999999999999
1994/1995,Ipswich Town,-1.429
1994/1995,Aston Villa,-1.9569999999999996
1994/1995,Wimbledon FC,-2.3899999999999997
1994/1995,Sheffield Wednesday,-3.8760000000000003
1994/1995,Queens Park Rangers,-4.779
1994/1995,Norwich City,-6.955
1995/1996,Newcastle United,22.745
1995/1996,Liverpool FC,17.55
1995/1996,Everton FC,16.56
1995/1996,Arsenal FC,16.15
1995/1996,Middlesbrough FC,12.625
1995/1996,Blackburn Rovers,10.9
1995/1996,Sheffield Wednesday,6.45
1995/1996,Aston Villa,6.162999999999999
1995/1996,Manchester City,4.833
1995/1996,Coventry City,3.685
1995/1996,Bolton Wanderers,2.423
1995/1996,Southampton FC,2.117
1995/1996,Chelsea FC,0.05999999999999989
1995/1996,Leeds United,-0.31999999999999995
1995/1996,West Ham United,-0.3490000000000002
1995/1996,Tottenham Hotspur,-0.8299999999999998
1995/1996,Wimbledon FC,-3.645
1995/1996,Queens Park Rangers,-7.303
1995/1996,Nottingham Forest,-10.864
1995/1996,Manchester United,-19.418
1996/1997,Leeds United,15.674999999999999
1996/1997,West Ham United,12.78
1996/1997,Chelsea FC,10.975
1996/1997,Newcastle United,9.536
1996/1997,Nottingham Forest,8.98
1996/1997,Sunderland AFC,7.25
1996/1997,Tottenham Hotspur,6.567
1996/1997,Coventry City,6.0
1996/1997,Leicester City,5.138999999999999
1996/1997,Aston Villa,3.713
1996/1997,Manchester United,3.2420000000000004
1996/1997,Derby County,3.074
1996/1997,Wimbledon FC,2.7600000000000002
1996/1997,Middlesbrough FC,2.5809999999999995
1996/1997,Sheffield Wednesday,0.7270000000000003
1996/1997,Liverpool FC,0.5
1996/1997,Southampton FC,-1.888
1996/1997,Arsenal FC,-2.0349999999999997
1996/1997,Everton FC,-4.635
1996/1997,Blackburn Rovers,-18.921
1997/1998,Newcastle United,15.47
1997/1998,Chelsea FC,15.25
